payment_date,client_id,invoice_number,billing_entity,ar_account,currency,exchange_rate,amount,account,Location,transtype,comment,Card Reference,reasoncode,sepaprovider,invoice #,payment #,Memo,journal_type,memo
14/10/2025,34458,34458-DDI00086,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,169.13,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,DDCARD PAYMENT:MESDDD31H66NXCHVWO9OI,2.0,,ch_3SI7uBKUOwSvugXx1t1IzOVU,CPMT: 34458-DDI00086,CPMT: 34458-DDI00086-14/10/2025,,Salon_Summit_Installments,Salon Summit Installment - Client 34458
14/10/2025,43551,43551-DDI00074,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,124.5,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,DDCARD PAYMENT:MESDDD3TV57DNWK47NI01,2.0,,ch_3SI7uaKUOwSvugXx1Im0pmrf,CPMT: 43551-DDI00074,CPMT: 43551-DDI00074-14/10/2025,,Salon_Summit_Installments,Salon Summit Installment - Client 43551
14/10/2025,41911,41911-DDI00072,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,188.6,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,DDCARD PAYMENT:MESDDD1WGO78N71DARMX3,2.0,,ch_3SI7uYKUOwSvugXx00hM6jGM,CPMT: 41911-DDI00072,CPMT: 41911-DDI00072-14/10/2025,,Salon_Summit_Installments,Salon Summit Installment - Client 41911
14/10/2025,37732,37732-DDI00072,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,622.69,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,DDCARD PAYMENT:MESDDD9OPKD7D50Q46K17,2.0,,ch_3SI7uLKUOwSvugXx0RXNMbcl,CPMT: 37732-DDI00072,CPMT: 37732-DDI00072-14/10/2025,,Salon_Summit_Installments,Salon Summit Installment - Client 37732
14/10/2025,11840,11840-DDI00108,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,424.35,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,DDCARD PAYMENT:MESDDDZ427OX387W46048,2.0,,ch_3SI7tXKUOwSvugXx0TVAqUFn,CPMT: 11840-DDI00108,CPMT: 11840-DDI00108-14/10/2025,,Salon_Summit_Installments,Salon Summit Installment - Client 11840
14/10/2025,16179,16179-DDI00137,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,186.55,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,DDCARD PAYMENT:MESDDD361890YF9HZ64WU,2.0,,ch_3SI7tbKUOwSvugXx0PoFr7lW,CPMT: 16179-DDI00137,CPMT: 16179-DDI00137-14/10/2025,,Salon_Summit_Installments,Salon Summit Installment - Client 16179
14/10/2025,12757,12757-DDI00141,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,110.67,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,DDCARD PAYMENT:MESDDD46DS2009VYK8711,2.0,,ch_3SI7tZKUOwSvugXx1CuTB8Fc,CPMT: 12757-DDI00141,CPMT: 12757-DDI00141-14/10/2025,,Salon_Summit_Installments,Salon Summit Installment - Client 12757
14/10/2025,31325,31325-DDI00093,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,50.63,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,DDCARD PAYMENT:MESDDD2G22BYHWK2H5210,2.0,,ch_3SI7u8KUOwSvugXx0Z9JnoTK,CPMT: 31325-DDI00093,CPMT: 31325-DDI00093-14/10/2025,,Salon_Summit_Installments,Salon Summit Installment - Client 31325
14/10/2025,23149,23149-DDI00112,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,166.05,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,DDCARD PAYMENT:MESDDD6033R6KJMEAQR52,2.0,,ch_3SI7tsKUOwSvugXx0yIaDend,CPMT: 23149-DDI00112,CPMT: 23149-DDI00112-14/10/2025,,Salon_Summit_Installments,Salon Summit Installment - Client 23149
14/10/2025,35308,35308-DDI00084,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,124.37,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,DDCARD PAYMENT:MESDDDL78P0QP30KPYMCX,2.0,,ch_3SI7uDKUOwSvugXx0hdr70BC,CPMT: 35308-DDI00084,CPMT: 35308-DDI00084-14/10/2025,,Salon_Summit_Installments,Salon Summit Installment - Client 35308
14/10/2025,59165,59165-DDI00038,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,150.22,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,DDCARD PAYMENT:MESDDD1NWU8Q5A77105BZ,2.0,,ch_3SI7v5KUOwSvugXx1r6XCyEh,CPMT: 59165-DDI00038,CPMT: 59165-DDI00038-14/10/2025,,Salon_Summit_Installments,Salon Summit Installment - Client 59165
